,X,system,Cause,Effect,rho_Lmax,p_Z,Kendall_tau,Kendall_p,Convergence,Standardized_linkage_strength,direction,biomasss,abundances,trait.effect.abundance.total,abundance.effect.trait.total,trait.effect.abundance,abundance.effect.trait
11,11,WA,size.Onthophagus.ater,abunance.Onthophagus.ater,0.243308455,0.197274088,0.99999994,0.008534908,FALSE,0.359697911,trait affects abundance,0.001037111,0.071428571,0.902439024,1,0.902439024,1
12,12,WA,size.Synuchus.nitidus,abunance.Synuchus.nitidus,0.555939965,0.007800408,1,0.002666712,TRUE,0.821880373,trait affects abundance,0.015407769,0.416666667,0.902439024,1,0.902439024,1
13,13,WA,size.Synuchus.cycloderus,abunance.Synuchus.cycloderus,0.243450169,0.197173615,0.99999994,0.008534908,FALSE,0.359907415,trait affects abundance,0.001056583,0.071428571,0.902439024,1,0.902439024,1
14,14,WA,size.Proteinus.sp,abunance.Proteinus.sp,0.372414765,0.079452787,1,0.002666712,FALSE,0.550563739,trait affects abundance,4.39722222222222e-05,0.4375,0.902439024,1,0.902439024,1
15,15,WA,size.Synuchus.melantho,abunance.Synuchus.melantho,0.054958097,0.481124627,0.523809552,0.133128524,FALSE,0.081247948,trait affects abundance,0.009637574,0.624561404,0.902439024,1,0.902439024,1
16,16,WA,size.Leistus.niger,abunance.Leistus.niger,0.165191883,0.249133781,0.925820053,0.007680297,FALSE,0.244213359,trait affects abundance,0.002823889,0.324561404,0.902439024,1,0.902439024,1
17,17,WA,size.Philonthus.sp,abunance.Philonthus.sp,0.192078267,0.244265135,1,0.002666712,FALSE,0.283961161,trait affects abundance,0.000478917,0.071428571,0.902439024,1,0.902439024,1
18,18,WA,size.Sphaeridiinae.,abunance.Sphaeridiinae.,0.371612742,0.056440304,0.99999994,0.008534908,FALSE,0.549378059,trait affects abundance,3.76111111111111e-05,0.133333333,0.902439024,1,0.902439024,1
19,19,WA,size.Aleocharinae.,abunance.Aleocharinae.,0.358307931,0.13428152,0.90476191,0.006863832,FALSE,0.529708735,trait affects abundance,0.000653667,2.576470588,0.902439024,1,0.902439024,1
20,20,WA,size.Ischnosoma.sp,abunance.Ischnosoma.sp,0.16782684,0.245655047,0.966091692,0.012898922,FALSE,0.248108779,trait affects abundance,5.85833333333333e-05,0.133333333,0.902439024,1,0.902439024,1
21,21,WA,size.Pterostichus.sp,abunance.Pterostichus.sp,0.379187791,0.102348886,0.99999994,0.008534908,FALSE,0.560576722,trait affects abundance,0.001471278,0.266666667,0.902439024,1,0.902439024,1
22,22,WA,size.Meloe.violaceus,abunance.Meloe.violaceus,0.139632309,0.284027258,0.925820053,0.007680297,FALSE,0.206427064,trait affects abundance,0.03268025,0.1875,0.902439024,1,0.902439024,1
23,23,WA,size.Badister.nakayamai,abunance.Badister.nakayamai,0.09486144,0.349566499,0.966091692,0.012898922,FALSE,0.140239524,trait affects abundance,3.36944444444444e-05,0.071428571,0.902439024,1,0.902439024,1
24,24,WA,size.Staphylininae.,abunance.Staphylininae.,0.09561697,0.348420554,0.966091692,0.012898922,FALSE,0.14135647,trait affects abundance,2.73611111111111e-05,0.071428571,0.902439024,1,0.902439024,1
25,25,WA,size.Phosphuga.atrata,abunance.Phosphuga.atrata,0.387990941,0.115287744,1,0.002666712,FALSE,0.573590961,trait affects abundance,0.001844889,0.071428571,0.902439024,1,0.902439024,1
26,26,WA,size.Aphodius.rectus,abunance.Aphodius.rectus,0.323256514,0.143754491,1,0.002666712,FALSE,0.477890061,trait affects abundance,0.000145222,0.071428571,0.902439024,1,0.902439024,1
27,27,WA,size.Elateridae.,abunance.Elateridae.,0.322458608,0.144391992,1,0.002666712,FALSE,0.476710467,trait affects abundance,0.0002145,0.071428571,0.902439024,1,0.902439024,1
28,28,WA,size.Sericania.sp,abunance.Sericania.sp,0.151423986,0.26767694,0.925820053,0.007680297,FALSE,0.223859426,trait affects abundance,0.000868278,0.071428571,0.902439024,1,0.902439024,1
29,29,WA,size.Coloninae.,abunance.Coloninae.,0.344701185,0.091996189,0.99999994,0.008534908,FALSE,0.509593043,trait affects abundance,1.23888888888889e-05,0.071428571,0.902439024,1,0.902439024,1
30,30,WA,size.Tachinus.mimulus,abunance.Tachinus.mimulus,0.33205797,0.095003533,0.99999994,0.008534908,FALSE,0.490901798,trait affects abundance,3.27777777777778e-05,0.071428571,0.902439024,1,0.902439024,1
31,31,WA,size.Synuchus.crocatus,abunance.Synuchus.crocatus,0.307801721,0.098145638,0.99999994,0.008534908,FALSE,0.455042287,trait affects abundance,0.003584944,0.28125,0.902439024,1,0.902439024,1
32,32,WA,size.Harpalus.laevipes,abunance.Harpalus.laevipes,0.000843767,0.498632668,-0.066666663,1,FALSE,0.001247394,trait affects abundance,0.002176722,0.133333333,0.902439024,1,0.902439024,1
33,33,WA,size.Homalota.sp,abunance.Homalota.sp,0.253132362,0.151846616,1,0.002666712,FALSE,0.374221199,trait affects abundance,4.80555555555556e-06,0.2,0.902439024,1,0.902439024,1
34,34,WA,size.Leiodinae.,abunance.Leiodinae.,0.25048589,0.198719182,0.99999994,0.008534908,FALSE,0.370308756,trait affects abundance,4.33333333333333e-06,0.071428571,0.902439024,1,0.902439024,1
35,35,WA,size.Carabidae.,abunance.Carabidae.,0.356739089,0.183560152,1,0.002666712,FALSE,0.527389419,trait affects abundance,0.000703667,0.2,0.902439024,1,0.902439024,1
36,36,WA,size.Lebia.bifenestrata,abunance.Lebia.bifenestrata,0.405969053,0.103440802,1,0.002666712,FALSE,0.600169114,trait affects abundance,7.05555555555556e-05,0.071428571,0.902439024,1,0.902439024,1
37,37,WA,size.Tachyporinae.,abunance.Tachyporinae.,0.332628733,0.095451514,0.99999994,0.008534908,FALSE,0.491745592,trait affects abundance,9.71666666666667e-05,0.071428571,0.902439024,1,0.902439024,1
38,38,WA,size.Hesperus.tiro,abunance.Hesperus.tiro,0.245635321,0.154195924,1,0.002666712,FALSE,0.36313786,trait affects abundance,0.000303722,0.071428571,0.902439024,1,0.902439024,1
39,39,WA,size.Anisolinus.elegans,abunance.Anisolinus.elegans,0.287553032,0.139552836,1,0.002666712,FALSE,0.4251074,trait affects abundance,0.000336889,0.071428571,0.902439024,1,0.902439024,1
40,40,WA,size.Badister.pictus,abunance.Badister.pictus,0.285808085,0.140645037,1,0.002666712,FALSE,0.422527737,trait affects abundance,0.000137444,0.071428571,0.902439024,1,0.902439024,1
41,41,WA,size.Lordithon.sp,abunance.Lordithon.sp,0.333696319,0.094982098,0.99999994,0.008534908,FALSE,0.49332387,trait affects abundance,5.24444444444444e-05,0.071428571,0.902439024,1,0.902439024,1
42,42,WA,abunance.Coleoptera.,size.Coleoptera.,0.676424433,0.075354763,0.809523821,0.016260982,FALSE,1,abundance affects trait,0.011335028,0.697222222,0.902439024,1,0.902439024,1
43,43,WA,abunance.Tachinus.sp2,size.Tachinus.sp2,0.319597668,0.139068313,0.90476191,0.006863832,FALSE,0.472480964,abundance affects trait,6.91944444444444e-05,0.071428571,0.902439024,1,0.902439024,1
44,44,WA,abunance.Domene.curtipennis,size.Domene.curtipennis,0.47355248,0.098427317,0.866666615,0.024170518,FALSE,0.700081867,abundance affects trait,0.000705264,0.571428571,0.902439024,1,0.902439024,1
45,45,WA,abunance.Athetini.,size.Athetini.,0.379360772,0.075196469,1,0.002666712,FALSE,0.56083245,abundance affects trait,0.003270139,1.578571429,0.902439024,1,0.902439024,1
46,46,WA,abunance.Carabus.arboreus,size.Carabus.arboreus,0.249946604,0.174079406,0.99999994,0.008534908,FALSE,0.369511496,abundance affects trait,0.245188517,1.890740741,0.902439024,1,0.902439024,1
47,47,WA,abunance.Pselaphinae.,size.Pselaphinae.,0.409822566,0.177806991,0.99999994,0.008534908,FALSE,0.605866001,abundance affects trait,7.575e-05,0.494927536,0.902439024,1,0.902439024,1
48,48,WA,abunance.Cholevinae.,size.Cholevinae.,0.283729766,0.118003177,0.89442718,0.026772738,FALSE,0.419455229,abundance affects trait,0.000543296,0.665123457,0.902439024,1,0.902439024,1
49,49,WA,abunance.Domene.crassicornis,size.Domene.crassicornis,0.083861363,0.366383018,0.845154226,0.019067407,FALSE,0.12397743,abundance affects trait,0.000267083,0.133333333,0.902439024,1,0.902439024,1
50,50,WA,abunance.Lucanus.maculifemoratus,size.Lucanus.maculifemoratus,0.313631264,0.18654231,1,0.002666712,FALSE,0.463660461,abundance affects trait,0.040710371,0.071428571,0.902439024,1,0.902439024,1
51,51,WA,abunance.Drusilla.aino,size.Drusilla.aino,0.223525051,0.246786144,0.99999994,0.008534908,FALSE,0.330450883,abundance affects trait,7.55277777777778e-05,0.071428571,0.902439024,1,0.902439024,1
52,52,WA,abunance.Onthophagus.ater,size.Onthophagus.ater,0.271964074,0.128557466,0.966091692,0.012898922,FALSE,0.40206128,abundance affects trait,0.001037111,0.071428571,0.902439024,1,0.902439024,1
53,53,WA,abunance.Synuchus.nitidus,size.Synuchus.nitidus,0.135806811,0.289420192,0.925820053,0.007680297,FALSE,0.200771593,abundance affects trait,0.015407769,0.416666667,0.902439024,1,0.902439024,1
54,54,WA,abunance.Synuchus.cycloderus,size.Synuchus.cycloderus,0.272903449,0.127694284,0.966091692,0.012898922,FALSE,0.403450017,abundance affects trait,0.001056583,0.071428571,0.902439024,1,0.902439024,1
55,55,WA,abunance.Proteinus.sp,size.Proteinus.sp,0.144968484,0.276576274,0.89442718,0.026772738,FALSE,0.21431586,abundance affects trait,4.39722222222222e-05,0.4375,0.902439024,1,0.902439024,1
56,56,WA,abunance.Synuchus.melantho,size.Synuchus.melantho,0.036131546,0.441632727,0.723746836,0.057279348,FALSE,0.053415495,abundance affects trait,0.009637574,0.624561404,0.902439024,1,0.902439024,1
57,57,WA,abunance.Leistus.niger,size.Leistus.niger,0.150926107,0.27979881,0.523809552,0.133128524,FALSE,0.223123382,abundance affects trait,0.002823889,0.324561404,0.902439024,1,0.902439024,1
58,58,WA,abunance.Philonthus.sp,size.Philonthus.sp,0.200829848,0.288409216,1,0.002666712,FALSE,0.296899162,abundance affects trait,0.000478917,0.071428571,0.902439024,1,0.902439024,1
59,59,WA,abunance.Sphaeridiinae.,size.Sphaeridiinae.,0.425671573,0.111670043,0.90476191,0.006863832,FALSE,0.629296567,abundance affects trait,3.76111111111111e-05,0.133333333,0.902439024,1,0.902439024,1
60,60,WA,abunance.Aleocharinae.,size.Aleocharinae.,0.271067031,0.225575549,1,0.002666712,FALSE,0.400735126,abundance affects trait,0.000653667,2.576470588,0.902439024,1,0.902439024,1
61,61,WA,abunance.Ischnosoma.sp,size.Ischnosoma.sp,0.075996405,0.378548484,0.878310025,0.009809136,FALSE,0.112350178,abundance affects trait,5.85833333333333e-05,0.133333333,0.902439024,1,0.902439024,1
62,62,WA,abunance.Pterostichus.sp,size.Pterostichus.sp,0.279079451,0.151034362,1,0.002666712,FALSE,0.412580382,abundance affects trait,0.001471278,0.266666667,0.902439024,1,0.902439024,1
63,63,WA,abunance.Meloe.violaceus,size.Meloe.violaceus,0.367196519,0.058837916,1,0.002666712,FALSE,0.542849283,abundance affects trait,0.03268025,0.1875,0.902439024,1,0.902439024,1
64,64,WA,abunance.Badister.nakayamai,size.Badister.nakayamai,0.341500768,0.147990289,1,0.002666712,FALSE,0.504861669,abundance affects trait,3.36944444444444e-05,0.071428571,0.902439024,1,0.902439024,1
65,65,WA,abunance.Staphylininae.,size.Staphylininae.,0.342073899,0.148216558,1,0.002666712,FALSE,0.505708963,abundance affects trait,2.73611111111111e-05,0.071428571,0.902439024,1,0.902439024,1
66,66,WA,abunance.Phosphuga.atrata,size.Phosphuga.atrata,0.292666125,0.14379212,0.99999994,0.008534908,FALSE,0.432666401,abundance affects trait,0.001844889,0.071428571,0.902439024,1,0.902439024,1
67,67,WA,abunance.Aphodius.rectus,size.Aphodius.rectus,0.290842292,0.226793113,0.99999994,0.008534908,FALSE,0.429970116,abundance affects trait,0.000145222,0.071428571,0.902439024,1,0.902439024,1
68,68,WA,abunance.Elateridae.,size.Elateridae.,0.275795131,0.272589111,1,0.002666712,FALSE,0.407724969,abundance affects trait,0.0002145,0.071428571,0.902439024,1,0.902439024,1
69,69,WA,abunance.Sericania.sp,size.Sericania.sp,0.074701285,0.380562278,0.975900054,0.003897905,FALSE,0.110435522,abundance affects trait,0.000868278,0.071428571,0.902439024,1,0.902439024,1
70,70,WA,abunance.Coloninae.,size.Coloninae.,0.137704489,0.351908904,0.599999964,0.132854939,FALSE,0.203577047,abundance affects trait,1.23888888888889e-05,0.071428571,0.902439024,1,0.902439024,1
71,71,WA,abunance.Tachinus.mimulus,size.Tachinus.mimulus,0.237256895,0.222618129,0.99999994,0.008534908,FALSE,0.350751515,abundance affects trait,3.27777777777778e-05,0.071428571,0.902439024,1,0.902439024,1
72,72,WA,abunance.Synuchus.crocatus,size.Synuchus.crocatus,0.037721227,0.455944917,0.047619049,1,FALSE,0.055765618,abundance affects trait,0.003584944,0.28125,0.902439024,1,0.902439024,1
73,73,WA,abunance.Harpalus.laevipes,size.Harpalus.laevipes,0.378954132,0.056555651,1,0.002666712,FALSE,0.560231289,abundance affects trait,0.002176722,0.133333333,0.902439024,1,0.902439024,1
74,74,WA,abunance.Homalota.sp,size.Homalota.sp,0.42422801,0.084032075,0.99999994,0.008534908,FALSE,0.627162458,abundance affects trait,4.80555555555556e-06,0.2,0.902439024,1,0.902439024,1
75,75,WA,abunance.Leiodinae.,size.Leiodinae.,0.201317888,0.203529173,1,0.002666712,FALSE,0.297620663,abundance affects trait,4.33333333333333e-06,0.071428571,0.902439024,1,0.902439024,1
76,76,WA,abunance.Carabidae.,size.Carabidae.,0.094953021,0.34942753,0.89442718,0.026772738,FALSE,0.140374914,abundance affects trait,0.000703667,0.2,0.902439024,1,0.902439024,1
77,77,WA,abunance.Lebia.bifenestrata,size.Lebia.bifenestrata,0.386914704,0.090859737,0.90476191,0.006863832,FALSE,0.571999894,abundance affects trait,7.05555555555556e-05,0.071428571,0.902439024,1,0.902439024,1
78,78,WA,abunance.Tachyporinae.,size.Tachyporinae.,0.192703283,0.278977362,0.99999994,0.008534908,FALSE,0.28488516,abundance affects trait,9.71666666666667e-05,0.071428571,0.902439024,1,0.902439024,1
79,79,WA,abunance.Hesperus.tiro,size.Hesperus.tiro,0.210043415,0.193220242,0.878310025,0.009809136,FALSE,0.310520148,abundance affects trait,0.000303722,0.071428571,0.902439024,1,0.902439024,1
80,80,WA,abunance.Anisolinus.elegans,size.Anisolinus.elegans,0.388838633,0.0753651,1,0.002666712,FALSE,0.574844157,abundance affects trait,0.000336889,0.071428571,0.902439024,1,0.902439024,1
81,81,WA,abunance.Badister.pictus,size.Badister.pictus,0.392679845,0.073143365,1,0.002666712,FALSE,0.580522857,abundance affects trait,0.000137444,0.071428571,0.902439024,1,0.902439024,1
82,82,WA,abunance.Lordithon.sp,size.Lordithon.sp,0.183560385,0.293016743,0.99999994,0.008534908,FALSE,0.27136865,abundance affects trait,5.24444444444444e-05,0.071428571,0.902439024,1,0.902439024,1
83,1,NI,size.Pterostichus.yoritomus,abunance.Pterostichus.yoritomus,0.986138499,4.98646124391655e-09,1.000000119,0.000836611,TRUE,1,trait affects abundance,0.029479167,1.216666667,0.933333333,0.833333333,0.933333333,0.833333333
84,2,NI,size.Synuchus.nitidus,abunance.Synuchus.nitidus,0.773120945,0.144280643,0.928571463,0.001981735,FALSE,0.783988198,trait affects abundance,0.050104667,1.333333333,0.933333333,0.833333333,0.933333333,0.833333333
85,3,NI,size.Synuchus.crocatus,abunance.Synuchus.crocatus,0.606394693,0.02184649,1,0.002666712,TRUE,0.614918384,trait affects abundance,0.007584275,0.631578947,0.933333333,0.833333333,0.933333333,0.833333333
86,4,NI,size.Calosoma.inquisitor,abunance.Calosoma.inquisitor,0.179742545,0.217226972,0.925820053,0.007680297,FALSE,0.182269068,trait affects abundance,0.077301737,1.052631579,0.933333333,0.833333333,0.933333333,0.833333333
87,5,NI,size.Silphini.,abunance.Silphini.,0.489254373,0.064009638,0.785714328,0.009374738,FALSE,0.4961315,trait affects abundance,0.074572275,0.761904762,0.933333333,0.833333333,0.933333333,0.833333333
88,6,NI,size.Platydracus.brevicornis,abunance.Platydracus.brevicornis,0,0.5,1,1,FALSE,0,trait affects abundance,0.005024125,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
89,7,NI,size.Carabus.blaptoides,abunance.Carabus.blaptoides,0.208093639,0.181857135,0.428571433,0.229556203,FALSE,0.211018675,trait affects abundance,0.237747237,0.695652174,0.933333333,0.833333333,0.933333333,0.833333333
90,8,NI,size.Anotylus.vicinus,abunance.Anotylus.vicinus,0.201680227,0.318693917,0.714285791,0.018741131,FALSE,0.204515113,trait affects abundance,7.77e-05,0.470588235,0.933333333,0.833333333,0.933333333,0.833333333
91,9,NI,size.Brachinus.scotomedes,abunance.Brachinus.scotomedes,0.211207454,0.285088016,0.857142925,0.00443399,FALSE,0.214176258,trait affects abundance,0.02173405,0.526315789,0.933333333,0.833333333,0.933333333,0.833333333
92,10,NI,size.Cyrtepistomus.castaneus,abunance.Cyrtepistomus.castaneus,0.281892949,0.158401412,0.90476191,0.006863832,FALSE,0.285855333,trait affects abundance,0.0004514,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
93,11,NI,size.Chrysomelidae.,abunance.Chrysomelidae.,0.281597549,0.158334555,0.90476191,0.006863832,FALSE,0.285555781,trait affects abundance,0.000136,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
94,12,NI,size.Diplocheila.macromandibularis,abunance.Diplocheila.macromandibularis,0,0.5,1,1,FALSE,0,trait affects abundance,0.009308725,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
95,13,NI,size.Pseudoepilichas.niponicus,abunance.Pseudoepilichas.niponicus,0.333446937,0.06795199,0.925820053,0.007680297,FALSE,0.338133981,trait affects abundance,0.0007824,0.421052632,0.933333333,0.833333333,0.933333333,0.833333333
96,14,NI,size.Synuchus.sp,abunance.Synuchus.sp,0,0.5,1,1,FALSE,0,trait affects abundance,0.00037455,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
97,15,NI,size.Tachyporinae.,abunance.Tachyporinae.,0,0.5,1,1,FALSE,0,trait affects abundance,0.000257725,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
98,16,NI,size.Tachinus.japonicus,abunance.Tachinus.japonicus,0,0.5,1,1,FALSE,0,trait affects abundance,0.000985975,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
99,17,NI,size.Leiodinae.,abunance.Leiodinae.,0,0.5,1,1,FALSE,0,trait affects abundance,0.000236825,0.62745098,0.933333333,0.833333333,0.933333333,0.833333333
100,18,NI,size.Glenea.relicta,abunance.Glenea.relicta,0,0.5,1,1,FALSE,0,trait affects abundance,0.001811775,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
101,19,NI,size.Oxycentrus.argutoroides,abunance.Oxycentrus.argutoroides,0.572094223,0.02555333,0.619047642,0.071505427,FALSE,0.580135775,trait affects abundance,0.004164525,0.571428571,0.933333333,0.833333333,0.933333333,0.833333333
102,20,NI,size.Harpalus.ussuriensis,abunance.Harpalus.ussuriensis,0.193767576,0.199307353,0.981980562,0.001188755,FALSE,0.19649124,trait affects abundance,0.0120985,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
103,21,NI,size.Algon.grandicollis,abunance.Algon.grandicollis,0.184900311,0.316781169,0.523809552,0.133128524,FALSE,0.187499333,trait affects abundance,0.010340825,0.571428571,0.933333333,0.833333333,0.933333333,0.833333333
104,22,NI,size.Ipelates.curtus,abunance.Ipelates.curtus,0,0.5,1,1,FALSE,0,trait affects abundance,0.000548475,0.421052632,0.933333333,0.833333333,0.933333333,0.833333333
105,23,NI,size.Scolytidae.,abunance.Scolytidae.,0,0.5,1,1,FALSE,0,trait affects abundance,3.2e-05,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
106,24,NI,size.Bolitobius.prolongatus,abunance.Bolitobius.prolongatus,0,0.5,1,1,FALSE,0,trait affects abundance,0.000558575,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
107,25,NI,size.Dendroxena.sexcarinata,abunance.Dendroxena.sexcarinata,0,0.5,1,1,FALSE,0,trait affects abundance,0.0051537,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
108,26,NI,size.Staphylinidae.,abunance.Staphylinidae.,0.202097116,0.317229613,0.714285791,0.018741131,FALSE,0.204937862,trait affects abundance,0.000125408,1.960784314,0.933333333,0.833333333,0.933333333,0.833333333
109,27,NI,size.Ontholestes.gracilis,abunance.Ontholestes.gracilis,0,0.5,1,1,FALSE,0,trait affects abundance,0.00269055,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
110,28,NI,size.Physoronia.explanata,abunance.Physoronia.explanata,0.285049423,0.130430258,1,0.002666712,FALSE,0.289056176,trait affects abundance,0.0002817,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
111,29,NI,size.Pterostichus.microcephalus,abunance.Pterostichus.microcephalus,0.190618046,0.418951474,0.809523821,0.016260982,FALSE,0.193297438,trait affects abundance,0.002410875,0.421052632,0.933333333,0.833333333,0.933333333,0.833333333
112,30,NI,size.Rugilus.rufescens,abunance.Rugilus.rufescens,0.199156156,0.321340366,0.714285791,0.018741131,FALSE,0.201955563,trait affects abundance,4.81e-05,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
113,31,NI,abunance.Pterostichus.yoritomus,size.Pterostichus.yoritomus,0.980945256,1.86934099422054e-07,1.000000119,0.000836611,TRUE,0.994733759,abundance affects trait,0.029479167,1.216666667,0.933333333,0.833333333,0.933333333,0.833333333
114,32,NI,abunance.Synuchus.nitidus,size.Synuchus.nitidus,0.760527209,0.019584071,0.428571463,0.173546195,FALSE,0.77121744,abundance affects trait,0.050104667,1.333333333,0.933333333,0.833333333,0.933333333,0.833333333
115,33,NI,abunance.Synuchus.crocatus,size.Synuchus.crocatus,0.209762051,0.349820017,0.90476191,0.006863832,FALSE,0.212710539,abundance affects trait,0.007584275,0.631578947,0.933333333,0.833333333,0.933333333,0.833333333
116,34,NI,abunance.Calosoma.inquisitor,size.Calosoma.inquisitor,0,0.5,1,1,FALSE,0,abundance affects trait,0.077301737,1.052631579,0.933333333,0.833333333,0.933333333,0.833333333
117,35,NI,abunance.Silphini.,size.Silphini.,0,0.5,1,1,FALSE,0,abundance affects trait,0.074572275,0.761904762,0.933333333,0.833333333,0.933333333,0.833333333
118,36,NI,abunance.Platydracus.brevicornis,size.Platydracus.brevicornis,0.03516527,0.465193383,-0.357142895,0.26551038,FALSE,0.035659565,abundance affects trait,0.005024125,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
119,37,NI,abunance.Carabus.blaptoides,size.Carabus.blaptoides,0.713232229,0.003756075,1.000000119,0.000836611,TRUE,0.723257666,abundance affects trait,0.237747237,0.695652174,0.933333333,0.833333333,0.933333333,0.833333333
120,38,NI,abunance.Anotylus.vicinus,size.Anotylus.vicinus,0.177194193,0.220569496,0.809523821,0.016260982,FALSE,0.179684895,abundance affects trait,7.77e-05,0.470588235,0.933333333,0.833333333,0.933333333,0.833333333
121,39,NI,abunance.Brachinus.scotomedes,size.Brachinus.scotomedes,0.351127956,0.148035157,1,0.002666712,FALSE,0.356063531,abundance affects trait,0.02173405,0.526315789,0.933333333,0.833333333,0.933333333,0.833333333
122,40,NI,abunance.Cyrtepistomus.castaneus,size.Cyrtepistomus.castaneus,0.321693649,0.295167433,0.785714328,0.009374738,FALSE,0.326215485,abundance affects trait,0.0004514,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
123,41,NI,abunance.Chrysomelidae.,size.Chrysomelidae.,0.29814533,0.333935065,0.50000006,0.107762337,FALSE,0.302336163,abundance affects trait,0.000136,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
124,42,NI,abunance.Diplocheila.macromandibularis,size.Diplocheila.macromandibularis,0.017397687,0.47017187,0.333333343,0.367520809,FALSE,0.017642235,abundance affects trait,0.009308725,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
125,43,NI,abunance.Pseudoepilichas.niponicus,size.Pseudoepilichas.niponicus,0,0.5,1,1,FALSE,0,abundance affects trait,0.0007824,0.421052632,0.933333333,0.833333333,0.933333333,0.833333333
126,44,NI,abunance.Synuchus.sp,size.Synuchus.sp,0.016808821,0.471179879,0.428571433,0.229556203,FALSE,0.017045091,abundance affects trait,0.00037455,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
127,45,NI,abunance.Tachyporinae.,size.Tachyporinae.,0.019500905,0.466573059,0.333333343,0.367520809,FALSE,0.019775016,abundance affects trait,0.000257725,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
128,46,NI,abunance.Tachinus.japonicus,size.Tachinus.japonicus,0,0.5,1,1,FALSE,0,abundance affects trait,0.000985975,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
129,47,NI,abunance.Leiodinae.,size.Leiodinae.,0,0.5,1,1,FALSE,0,abundance affects trait,0.000236825,0.62745098,0.933333333,0.833333333,0.933333333,0.833333333
130,48,NI,abunance.Glenea.relicta,size.Glenea.relicta,0,0.5,1,1,FALSE,0,abundance affects trait,0.001811775,0.235294118,0.933333333,0.833333333,0.933333333,0.833333333
131,49,NI,abunance.Oxycentrus.argutoroides,size.Oxycentrus.argutoroides,0.741715062,0.001700795,1.000000119,0.000836611,TRUE,0.752140863,abundance affects trait,0.004164525,0.571428571,0.933333333,0.833333333,0.933333333,0.833333333
