,X.1,X,system,Cause,Effect,rho_Lmax,p_Z,Kendall_tau,Kendall_p,Convergence,Standardized_linkage_strength,direction,biomasss,trait.effect.abundance.total,abundance.effect.trait.total,Warming_rate,temp_mean,species_richness,type,species_richness_ln,biomasss_ln,abundances_ln,temp_mean_ln,Effect2,Taxa
28,28,28,WS1,O..regia.1,O..regia,0.727553236,0.196397326,1,0.002666712,FALSE,0.761241621,trait affects abundance,7.35E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.134007208,4.814766374,1.004327957,O..regia,diatom
29,29,29,WS1,O..rhombus.1,O..rhombus,0.868106814,0.111251547,1,0.002666712,FALSE,0.908303345,trait affects abundance,3.37E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.472317765,5.509903488,1.004327957,O..rhombus,diatom
30,30,30,WS1,O..rhombus.f.trigona.1,O..rhombus.f.trigona,0.861473345,0.112088606,1,0.002666712,FALSE,0.901362722,trait affects abundance,3.04E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.517658225,5.263697112,1.004327957,O..rhombus.f.trigona,diatom
31,31,31,WS1,P..micans.1,P..micans,0.885841306,0.058470946,0.99999994,0.008534908,FALSE,0.926859009,trait affects abundance,1.28E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.892949909,4.378646844,1.004327957,P..micans,dinoflagellate
32,32,32,WS1,P..sulcata.1,P..sulcata,0.784617608,0.208162615,1,0.002666712,FALSE,0.820948283,trait affects abundance,4.44E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.353049461,5.306453396,1.004327957,P..sulcata,dinoflagellate
33,33,33,WS1,P..vanheurckii.1,P..vanheurckii,0.87381539,0.006292193,1,0.002666712,TRUE,0.91427625,trait affects abundance,1.95E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.710182919,5.75077682,1.004327957,P..vanheurckii,dinoflagellate
34,34,34,WS1,Pleurosigma.sp..1,Pleurosigma.sp.,0.878525504,0.157131438,1,0.002666712,FALSE,0.919204459,trait affects abundance,9.58E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.018625729,4.810985293,1.004327957,Pleurosigma.sp.,diatom
35,35,35,WS1,Protoperidinium.sp..1,Protoperidinium.sp.,0.860875539,0.211954712,0.90476191,0.006863832,FALSE,0.900737236,trait affects abundance,3.56E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.448028631,5.101878649,1.004327957,Protoperidinium.sp.,dinoflagellate
36,36,36,WS1,Prymnesiophyceae.sp.1,Prymnesiophyceae.sp,0.335263618,0.248876204,0.866666615,0.024170518,FALSE,0.350787554,trait affects abundance,8.59E-11,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-10.06595025,6.286668531,1.004327957,Prymnesiophyceae.indet,Heterokontophyta
37,37,37,WS1,Pseudo.nitzschia.sp..1,Pseudo.nitzschia.sp.,0.675702082,0.002267041,1,0.002666712,TRUE,0.706989568,trait affects abundance,9.66E-11,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-10.01482808,7.600960017,1.004327957,Pseudo.nitzschia.sp.,diatom
38,38,38,WS1,R..imbricata.1,R..imbricata,0.369710911,0.152572436,0.99999994,0.008534908,FALSE,0.386829883,trait affects abundance,1.66E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.779839246,6.547854205,1.004327957,R..imbricata,Heterokontophyta
39,39,39,WS1,R..setigera.1,R..setigera,0.7470042,0.090105782,1,0.002666712,FALSE,0.781593236,trait affects abundance,1.62E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.791154822,5.911191686,1.004327957,R..setigera,Heterokontophyta
40,40,40,WS1,S..fragilarioides.1,S..fragilarioides,0.701142016,0.116135196,1,0.002666712,FALSE,0.733607465,trait affects abundance,1.96E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.708295147,6.109568337,1.004327957,S..fragilarioides,Heterokontophyta
41,41,41,WS1,Thalassiosira.sp..1,Thalassiosira.sp.,0.563927663,0.085304144,0.99999994,0.008534908,FALSE,0.590039583,trait affects abundance,3.24E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.490003963,7.55656225,1.004327957,Thalassiosira.sp.,diatom
42,42,42,WS1,Tintinidae.sp.1,Tintinidae.sp,0.807008443,0.078888721,0.99999994,0.008534908,FALSE,0.844375895,trait affects abundance,1.18E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.929513431,5.699678212,1.004327957,Tintinidae.indet,ciliate 
43,43,43,WS1,A..senarius,A..senarius.1,0.796614913,0.390302092,0.428571433,0.229556203,FALSE,0.833501107,abundance affects trait,1.26E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.899388047,6.218659256,1.004327957,A..senarius.1,diatom
44,44,44,WS1,Amoeba.sp,Amoeba.sp.1,0.667161065,0.206167858,1,0.002666712,FALSE,0.698053071,abundance affects trait,6.89E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.162037512,4.767105855,1.004327957,Amoeba.indet.1,Dinoflagellate
45,45,45,WS1,B..brockmannii,B..brockmannii.1,0.76489478,0.238147018,0.714285731,0.035498142,FALSE,0.800312215,abundance affects trait,5.51E-11,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-10.25897395,8.002105688,1.004327957,B..brockmannii.1,diatom
46,46,46,WS1,Bacillariophyceae.sp,Bacillariophyceae.sp.1,0.461044603,0.256031257,1,0.002666712,FALSE,0.48239266,abundance affects trait,1.20E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.921618772,7.149072338,1.004327957,Bacillariophyceae.indet.1,diatom
47,47,47,WS1,C..closterium,C..closterium.1,0.872953348,0.104272638,1,0.002666712,FALSE,0.913374291,abundance affects trait,4.24E-11,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-10.37283879,6.876833238,1.004327957,C..closterium.1,diatom
48,48,48,WS1,C..danicus,C..danicus.1,0.776027496,0.058798804,1,0.002666712,FALSE,0.811960417,abundance affects trait,1.42E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.847730424,4.957766883,1.004327957,C..danicus.1,diatom
49,49,49,WS1,C..debilis,C..debilis.1,0.955745477,0.01496913,1,0.002666712,TRUE,1,abundance affects trait,1.21E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.915749828,6.435228585,1.004327957,C..debilis.1,diatom
50,50,50,WS1,C..densus,C..densus.1,0.542901472,0.037519978,1,0.002666712,FALSE,0.568039803,abundance affects trait,8.59E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.066167477,5.303306325,1.004327957,C..densus.1,diatom
51,51,51,WS1,Chaetoceros.sp.,Chaetoceros.sp..1,0.713584635,0.060798939,0.99999994,0.008534908,FALSE,0.746626222,abundance affects trait,9.17E-11,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-10.03773799,7.494064545,1.004327957,Chaetoceros.sp..1,diatom
52,52,52,WS1,Ciliates.sp,Ciliates.sp.1,0.821788544,0.115743944,0.99999994,0.008534908,FALSE,0.85984037,abundance affects trait,7.75E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.110921995,6.603005471,1.004327957,Ciliates.indet.1,ciliate 
53,53,53,WS1,D..brightwellii,D..brightwellii.1,0.929649075,0.001590516,1,0.002666712,TRUE,0.972695239,abundance affects trait,1.39E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.857669106,4.975410486,1.004327957,D..brightwellii.1,diatom
54,54,54,WS1,D..surirella,D..surirella.1,0.865387342,0.07829749,1,0.002666712,FALSE,0.905457951,abundance affects trait,1.99E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.701395835,5.669083657,1.004327957,D..surirella.1,diatom
55,55,55,WS1,Dinophy.sp,Dinophy.sp.1,0.895200556,0.100695927,0.99999994,0.008534908,FALSE,0.936651627,abundance affects trait,6.01E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.221462507,6.862081079,1.004327957,Dinophy.indet.1,Dinoflagellate
56,56,56,WS1,Diplopsalis.gr,Diplopsalis.gr.1,0.753314456,0.120789406,0.99999994,0.008534908,FALSE,0.78819568,abundance affects trait,2.65E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.577420403,5.330833112,1.004327957,Diplopsalis.gr.1,Dinoflagellate
57,57,57,WS1,E..dubium,E..dubium.1,0.746577819,0.158648813,0.99999994,0.008534908,FALSE,0.781147111,abundance affects trait,1.91E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.717854675,6.411242741,1.004327957,E..dubium.1,Charophyta
58,58,58,WS1,E..tripartita,E..tripartita.1,0.529249563,0.13079671,1,0.002666712,FALSE,0.55375576,abundance affects trait,8.24E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.084329388,5.304389623,1.004327957,E..tripartita.1,Charophyta
59,59,59,WS1,G..delicatula,G..delicatula.1,0.781320481,0.021825532,0.99999994,0.008534908,TRUE,0.817498486,abundance affects trait,7.13E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.146787343,6.816697412,1.004327957,G..delicatula.1,diatom
60,60,60,WS1,G..striata,G..striata.1,0.932538265,0.062897539,1,0.002666712,FALSE,0.975718209,abundance affects trait,2.25E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.648655945,5.928852697,1.004327957,G..striata.1,diatom
61,61,61,WS1,L..danicus,L..danicus.1,0.766159765,0.041585112,0.99999994,0.008534908,TRUE,0.801635774,abundance affects trait,1.32E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.878189549,6.839412254,1.004327957,L..danicus.1,diatom
62,62,62,WS1,L..minimus,L..minimus.1,0.647799687,0.423723163,0.238095239,0.548005581,FALSE,0.67779519,abundance affects trait,3.92E-11,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-10.40644052,6.919917194,1.004327957,L..minimus.1,diatom
63,63,63,WS1,L..strobila,L..strobila.1,0.902971735,0.109698305,1,0.002666712,FALSE,0.944782641,abundance affects trait,1.04E-08,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-7.982138995,4.437021116,1.004327957,L..strobila.1,diatom
64,64,64,WS1,L..undulatum,L..undulatum.1,0.906208169,0.003220292,0.99999994,0.008534908,TRUE,0.948168932,abundance affects trait,2.27E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.644753523,5.107863527,1.004327957,L..undulatum.1,diatom
65,65,65,WS1,M..rubra,M..rubra.1,0.784280408,0.05205494,0.99999994,0.008534908,FALSE,0.820595469,abundance affects trait,1.54E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.812293772,5.041936675,1.004327957,M..rubra.1,ciliate
66,66,66,WS1,Navicula.sp.,Navicula.sp..1,0.826509644,0.100992582,1,0.002666712,FALSE,0.864780073,abundance affects trait,1.34E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.872228906,5.722301804,1.004327957,Navicula.sp..1,diatom
67,67,67,WS1,O..aurita,O..aurita.1,0.105945836,0.323689334,0.714285731,0.035498142,FALSE,0.110851517,abundance affects trait,7.32E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.135388565,6.920221532,1.004327957,O..aurita.1,diatom
68,68,68,WS1,O..aurita.var..minima,O..aurita.var..minima.1,0.591580922,0.091142068,1,0.002666712,FALSE,0.618973289,abundance affects trait,2.14E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.66933,6.369098816,1.004327957,O..aurita.var..minima.1,diatom
69,69,69,WS1,O..mobiliensis,O..mobiliensis.1,0.83528319,0.180811136,0.90476191,0.006863832,FALSE,0.873959867,abundance affects trait,3.44E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.463184461,4.639173076,1.004327957,O..mobiliensis.1,diatom
70,70,70,WS1,O..regia,O..regia.1,0.709882187,0.132166476,1,0.002666712,FALSE,0.742752338,abundance affects trait,7.35E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.134007208,4.814766374,1.004327957,O..regia.1,diatom
71,71,71,WS1,O..rhombus,O..rhombus.1,0.849925812,0.032543766,0.99999994,0.008534908,TRUE,0.889280497,abundance affects trait,3.37E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.472317765,5.509903488,1.004327957,O..rhombus.1,diatom
72,72,72,WS1,O..rhombus.f.trigona,O..rhombus.f.trigona.1,0.898769615,0.043405592,1,0.002666712,TRUE,0.940385946,abundance affects trait,3.04E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.517658225,5.263697112,1.004327957,O..rhombus.f.trigona.1,diatom
73,73,73,WS1,P..micans,P..micans.1,0.883730529,0.023068281,1,0.002666712,TRUE,0.924650496,abundance affects trait,1.28E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.892949909,4.378646844,1.004327957,P..micans.1,dinoflagellate
74,74,74,WS1,P..sulcata,P..sulcata.1,0.784333702,0.010611393,0.99999994,0.008534908,TRUE,0.820651231,abundance affects trait,4.44E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.353049461,5.306453396,1.004327957,P..sulcata.1,dinoflagellate
75,75,75,WS1,P..vanheurckii,P..vanheurckii.1,0.785483146,0.113315616,1,0.002666712,FALSE,0.821853898,abundance affects trait,1.95E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.710182919,5.75077682,1.004327957,P..vanheurckii.1,dinoflagellate
76,76,76,WS1,Pleurosigma.sp.,Pleurosigma.sp..1,0.916487097,0.056300229,1,0.002666712,FALSE,0.958923813,abundance affects trait,9.58E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.018625729,4.810985293,1.004327957,Pleurosigma.sp..1,diatom
77,77,77,WS1,Protoperidinium.sp.,Protoperidinium.sp..1,0.852837808,0.136299408,1,0.002666712,FALSE,0.892327328,abundance affects trait,3.56E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.448028631,5.101878649,1.004327957,Protoperidinium.sp..1,dinoflagellate
78,78,78,WS1,Prymnesiophyceae.sp,Prymnesiophyceae.sp.1,0.615257479,0.041029672,0.99999994,0.008534908,FALSE,0.643746158,abundance affects trait,8.59E-11,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-10.06595025,6.286668531,1.004327957,Prymnesiophyceae.indet.1,Heterokontophyta
79,79,79,WS1,Pseudo.nitzschia.sp.,Pseudo.nitzschia.sp..1,0.547498629,0.048915905,1,0.002666712,FALSE,0.572849825,abundance affects trait,9.66E-11,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-10.01482808,7.600960017,1.004327957,Pseudo.nitzschia.sp..1,diatom
80,80,80,WS1,R..imbricata,R..imbricata.1,0.303911508,0.184431511,0.866666615,0.024170518,FALSE,0.317983727,abundance affects trait,1.66E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.779839246,6.547854205,1.004327957,R..imbricata.1,Heterokontophyta
81,81,81,WS1,R..setigera,R..setigera.1,0.589580623,0.169980857,0.866666615,0.024170518,FALSE,0.61688037,abundance affects trait,1.62E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.791154822,5.911191686,1.004327957,R..setigera.1,Heterokontophyta
82,82,82,WS1,S..fragilarioides,S..fragilarioides.1,0.722152106,0.069640113,1,0.002666712,FALSE,0.755590398,abundance affects trait,1.96E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.708295147,6.109568337,1.004327957,S..fragilarioides.1,Heterokontophyta
83,83,83,WS1,Thalassiosira.sp.,Thalassiosira.sp..1,0.305774118,0.106457836,1,0.002666712,FALSE,0.319932582,abundance affects trait,3.24E-10,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-9.490003963,7.55656225,1.004327957,Thalassiosira.sp..1,diatom
84,84,84,WS1,Tintinidae.sp,Tintinidae.sp.1,0.810705132,0.009032843,0.99999994,0.008534908,TRUE,0.848243755,abundance affects trait,1.18E-09,0.80952381,0.761904762,0.033718254,10.10015309,42,Plankton,1.62324929,-8.929513431,5.699678212,1.004327957,Tintinidae.indet.1,ciliate 
85,85,1,ME1,Chlamydomonas.globosa..1,Chlamydomonas.globosa.,0.941994376,0.03043114,1,0.002666712,TRUE,0.964007957,trait affects abundance,1.56E-07,0.724137931,0.586206897,0.024158508,10.03227456,29,Plankton,1.462397998,-6.808040607,7.571748195,1.001399409,Chlamydomonas.globosa.,Chlorophyta
86,86,2,ME1,Cryptomonas.erosa..1,Cryptomonas.erosa.,0.687711214,0.140651439,1,0.002666712,FALSE,0.703782421,trait affects abundance,5.77E-07,0.724137931,0.586206897,0.024158508,10.03227456,29,Plankton,1.462397998,-6.23847502,7.834373232,1.001399409,Cryptomonas.erosa.,Cyanobacteria
87,87,3,ME1,Aphanizomenon.flos.aquae.1,Aphanizomenon.flos.aquae,0.805734658,0.073443174,1,0.002666712,FALSE,0.824563969,trait affects abundance,6.71E-08,0.724137931,0.586206897,0.024158508,10.03227456,29,Plankton,1.462397998,-7.173235106,9.862386699,1.001399409,Aphanizomenon.flos.aquae,Cyanobacteria
88,88,4,ME1,Aphanothece.nidulans..1,Aphanothece.nidulans.,0.875429249,4.63E-06,1,0.002666712,TRUE,0.895887262,trait affects abundance,1.50E-09,0.724137931,0.586206897,0.024158508,10.03227456,29,Plankton,1.462397998,-8.822767042,10.61055201,1.001399409,Aphanothece.nidulans.,Cyanobacteria
89,89,5,ME1,Oscillatoria.limnetica..1,Oscillatoria.limnetica.,0.715189852,0.213939265,1,0.002666712,FALSE,0.73190321,trait affects abundance,1.16E-08,0.724137931,0.586206897,0.024158508,10.03227456,29,Plankton,1.462397998,-7.934845298,9.164571159,1.001399409,Oscillatoria.limnetica.,Cyanobacteria
90,90,6,ME1,Synechocystis...1,Synechocystis..,0.668425533,0.066387793,1,0.002666712,FALSE,0.684046051,trait affects abundance,1.11E-08,0.724137931,0.586206897,0.024158508,10.03227456,29,Plankton,1.462397998,-7.953443433,8.877797627,1.001399409,Synechocystis..,Cyanobacteria
91,91,7,ME1,Miscellaneous.1,Miscellaneous,0.671467857,0.175862725,1,0.002666712,FALSE,0.687159471,trait affects abundance,1.11E-08,0.724137931,0.586206897,0.024158508,10.03227456,29,Plankton,1.462397998,-7.953907382,9.060049964,1.001399409,Miscellaneous,Heterokontophyta
92,92,8,ME1,Rhodomonas.minuta.var..nannoplanctica.1,Rhodomonas.minuta.var..nannoplanctica,0.409166146,0.286322668,1,0.002666712,FALSE,0.418727999,trait affects abundance,5.84E-08,0.724137931,0.586206897,0.024158508,10.03227456,29,Plankton,1.462397998,-7.23388024,8.789569311,1.001399409,Rhodomonas.minuta.var..nannoplanctica,Cyanobacteria
