,X,year,BLACKCRAPPIE,BLACKNOSESHINER,BLUEGILL,BLUNTNOSEMINNOW,COMMONSHINER,GOLDENSHINER,IOWADARTER,JOHNNYDARTER,LARGEMOUTHBASS,LOGPERCH,MIMICSHINER,MOTTLEDSCULPIN,MUDMINNOW,MUSKELLUNGE,NORTHERNPIKE,PUMPKINSEED,ROCKBASS,SMALLMOUTHBASS,WALLEYE,WHITESUCKER,YELLOWPERCH,BLACKCHINSHINER,UNIDSUNFISH,YELLOWBULLHEAD,BLACKBULLHEAD,HORNYHEADCHUB,UNIDMINNOW,UNIDREDHORSE,UNIDENTIFIED,BROWNBULLHEAD,SHORTHEADREDHORS,FINESCALEDACE,BGPUMPHYBRID,MUSKYPIKEHYBRID,ROSYFACESHINER,CREEKCHUB,BURBOT,FANTAILDARTER,GRASSPICKEREL,SPOTTAILSHINER,SLIMYSCULPIN,LARVALFISH,FATHEAD,GOLDENREDHORSE,GREATERREDHORSE,EMERALDSHINER,WHITECRAPPIE,BROOKSTICKLEBACK,LARVALSUNFISH,PROPINQUUS,CRAYFISH,SUNFISH,VIRILIS,SILVERREDHORSE
11,11,1991,184.2077922,46.90740741,91.09571286,46.56444444,78.63636364,75.77358491,45,45.62162162,107.0418605,94.25,0,58,74,263,470.5,139.1842105,122.7083333,0,325.3333333,406.6428571,73.33893557,29,0,178.3529412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,1992,108.9166667,48.61538462,125.5947826,44.96511628,108,101.3882353,42.83333333,54,153.0172414,53,0,0,0,875.5,511.25,128.2826087,141.9166667,160.6,303.05,345.1363636,94.4516129,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,1993,90.5,60,115.0152091,55.12857143,96.92857143,93.29508197,56,33.45,113.3513514,56.4,65.25,30,0,0,265.75,103.68,114.0555556,218,269.5454545,369.9285714,96.29268293,0,0,0,0,0,0,0,0,192,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,1994,73.30290456,46,133.8339768,50.71727749,89.66666667,89.01123596,48.75,41.64285714,79.74647887,72,67.2,43.33333333,0,409.75,397,140.8108108,82.85714286,59,331.9655172,357.1333333,74.55890411,56.2,0,49,0,0,0,0,0,0,297.5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,1995,92.88321168,0,103.2586957,38.77083333,117.8870968,95.12765957,44.4,39.20689655,98.57526882,70.83333333,0,39.66666667,0,94,427.6,137.5882353,123.1333333,197.6,269.5185185,245.2352941,97.41056911,0,0,62.66666667,0,0,0,0,0,0,398.5,0,116,363,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,1996,54.10408922,64,116.8327273,27.94820717,45.4122807,106.9375,0,31.05376344,80.37195122,56.5,0,0,0,374.4,399.8947368,118.2727273,128.2,76.25,284.1818182,309.2941176,70.8125,0,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.5,0,0
17,17,1997,84.60625,53.3902439,108.9689441,54.425,90.66666667,92.1147541,41,39.7761194,79.1,81.5,57.26415094,22,0,280.25,378.7,117.9444444,114.3095238,157.3636364,276.1363636,344.2142857,74.74545455,43.08333333,0,119.4,0,0,0,0,0,0,307,0,65,0,0,80.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,1998,97.640625,63,136.7589744,58.01086957,98.18,91.98473282,50.5,41.2,76.8245614,79.66666667,29,36,0,512,343,147.3125,161.2,103.5384615,126.3636364,386.8333333,84.72631579,0,0,86,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,1999,65.22627737,51.125,99.46959459,46.80952381,118.5333333,118.3266932,39.33333333,0,101.75,58.63636364,0,0,0,0,405.4666667,138.5,156.0851064,138.7272727,187.9333333,288.1521739,100.4178628,55,0,238.3333333,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,2000,140,0,131.7044025,66.23529412,91.05555556,113,0,40,106.6888889,88.375,39,46,0,0,407.0909091,130.2666667,160.6428571,69.78846154,118.3594771,236.5833333,70.18666667,59,0,226,0,0,0,0,0,0,0,0,0,0,77,0,71,32,136,79.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,2001,37.9,59.53846154,132.4536082,43.1,78.22222222,91.14285714,0,40.5,133.9672131,68,0,35.42857143,0,0,401.8636364,144.7142857,88.86956522,85.4,150.34375,273.1818182,50.75757576,51,0,257.75,0,0,0,0,0,22,0,0,0,0,0,0,0,38,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,2002,55.50769231,44,121.0076336,55.13333333,105,0,59.5,33.83333333,75.15425532,87.25,0,0,0,0,430.7058824,145.8571429,141.16,50.5,191.1102362,381.5454545,95.12222222,75.33333333,0,244.1428571,0,0,27,0,0,0,0,0,0,0,0,0,0,0,74.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,2003,110.1875,0,90.75268817,26.72727273,0,92,0,33.8,56.54545455,46,42,31,0,0,406.4166667,119.375,130.7777778,88.83333333,221.7435897,488.5,52.69960474,89,0,223.5454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,2004,211.7555556,50.57692308,123.6956522,45.28571429,64.75,25.11111111,0,30.30120482,61.6695279,81.5,28.5,44.8,0,0,414,0,175.125,39.65934066,229.88,56.05357143,42.65505804,0,0,314.4583333,0,0,0,0,0,0,0,0,0,0,0,0,64.33333333,0,0,0,33,0,0,0,0,0,0,0,0,0,0,130.8888889,0,0
25,25,2005,39.83879093,34,147.7971014,37.23958333,78.40449438,0,38,36.14634146,65.80519481,0,50.4,68,0,0,421.3,143,122.9,56.24489796,210,88.63157895,60.06418919,0,0,270.0416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,2006,90.95652174,39.76744186,82.75067024,46.52912621,90.85714286,105,35,40.46428571,99.71428571,82,34.88888889,0,0,0,325.375,132.25,96.2745098,75.05882353,196.974026,372.75,98.76453055,0,0,281.9230769,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,44.28571429,0
27,27,2007,152.1666667,0,100.4837209,52.375,111.625,0,41.5,37.8125,105.36,76,0,0,0,0,379.4,129.5,120.3714286,52.86666667,236.25,51.14285714,69.11790393,37.33333333,0,247.5,0,0,0,0,0,25,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,2008,0,54.16981132,146.1891892,58.05128205,81.03846154,97.5,26.77777778,33.53333333,65.46491228,73,41,0,0,119.5,486.3333333,161.5,146.25,41.91891892,228.45,112.21875,53.37406015,0,0,275.6666667,0,0,0,0,70,156.5714286,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0
29,29,2009,196.8333333,49,148.3362069,53.44444444,0,0,56,32.4,69.4496124,53.77777778,0,33.16216216,0,118,327.4285714,115,183.25,96.52380952,195.372549,67.58536585,40.6481775,47,0,262.5757576,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.46153846,0,0,0,394,394,0,0,0,0,0,0,0,0,0
30,30,2010,197.8846154,52.69230769,173.2439024,56.37068966,76.29411765,0,57,47.375,63.63924051,68.6,50.82352941,28.375,0,0,0,147.5,154.125,102,128.3451327,131.9193548,47.4046875,50.83333333,0,175.75,0,0,0,0,0,0,451.5,0,0,0,0,0,0,0,0,64.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,2011,136.3421053,0,142.0740741,59.19047619,100.4848485,103.1666667,39,38.76470588,78.95394737,73,0,30,0,611,516.3333333,148,130.7727273,68.97674419,203.7920792,381.3,60.33640553,64,0,212,0,0,0,0,0,0,0,0,0,0,0,0,64,0,87.5,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0
32,32,2012,136.2325581,0,133.3357143,45.47368421,118.75,112.25,52,42,95.7591623,62.5,0,0,0,0,812,167,97.16666667,80.14285714,192.1818182,435.4074074,69.91538462,0,0,228.75,0,0,0,0,0,0,0,0,0,0,0,0,70,0,90.5,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0
33,33,2013,61.60526316,38.11764706,120.7884615,59.89655172,0,116.4210526,0,35.47058824,99.19230769,78,42,27,0,0,0,111,62.90909091,47.8358209,219.0769231,439,45.07881773,0,0,25,0,0,0,0,40.5,0,407,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,2014,55.62172285,0,134.3333333,52.64705882,96.55555556,162,0,33.65277778,69.27007299,42,32.72222222,0,0,0,567,0,173.25,83,278.5,445.1363636,46.51343284,0,0,330,0,0,0,0,51,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,2015,130.5609756,38.14035088,73.6244898,56,67,89.42857143,0,33.46153846,69.6,49.46666667,49,34.75,0,460,110,159,127.2,56.45454545,224.7826087,499.1666667,43.89527027,0,0,0,24,59,48,0,0,250.875,0,0,0,0,0,0,61.75,0,0,0,0,0,0,0,0,64.4,0,0,0,0,0,0,0,0
36,36,2016,113.6756757,26.66666667,111.4174757,59.76033058,49,80.20833333,0,33.32692308,59.1547619,72,0,32.875,0,0,0,201.5,113.4444444,137.1666667,195.4666667,242.7894737,59.24871795,33.5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,44.8,0,0,0,0,0,0,0
37,37,2017,131.9619048,23,97.14906832,62.86111111,37,127.0666667,0,0,48.0942029,85,26.66666667,32.5,0,387,366.4,117,152.25,77.67346939,242.8412698,359.4,56.85323383,0,0,319.3333333,33,63.14285714,0,0,37.4,0,509,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,2018,199.4,64,138.495098,54.90909091,101.6521739,104.2727273,61,44,74.48636364,81.57142857,76,65,0,0,448.6666667,0,143.6153846,54.66169154,269.4328358,399.5,67.52051583,0,0,292.2857143,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,43.3,0,0,0,0,0,0,0
